t_h,R_umol,assimilated_umol,supplied_umol,U_umol_h,A_umol_h,light
16.5,3.5743171851260134,14.50539923061158,16.079716415737597,0.3614155115702664,0.2734858480872139,False
16.52,3.57607390689131,14.510869241447493,16.086943148338804,0.3612578145535554,0.27351522131823097,False
16.54,3.5778268920577916,14.516339838897979,16.094166730955774,0.36110051294230733,0.2735445095996912,False
16.560000000000002,3.579576150217045,14.521811021267347,16.101387171484394,0.36094360551553933,0.27357371326090685,False
16.58,3.5813216909297125,14.527282786866465,16.10860447779618,0.3607870910567659,0.2736028326295129,False
16.6,3.5830635237256176,14.53275513401275,16.11581865773837,0.36063096835398084,0.2736318680314774,False
16.62,3.5848016581038835,14.53822806103011,16.123029719133996,0.36047523619963984,0.27366081979111223,False
16.64,3.5865361035330574,14.543701566248929,16.130237669781987,0.36031989339064213,0.27368968823108325,False
16.66,3.588266869451233,14.54917564800603,16.137442517457263,0.3601649387283132,0.2737184736724215,False
16.68,3.5899939652661694,14.554650304644632,16.144644269910803,0.36001037101838695,0.2737471764345329,False
16.7,3.5917174003554124,14.560125534514334,16.151842934869748,0.35985618907098826,0.2737757968352083,False
16.72,3.5934371840664143,14.565601335971072,16.159038520037488,0.3597023917006151,0.2738043351906345,False
16.740000000000002,3.595153325716654,14.57107770737709,16.166231033093744,0.35954897772612143,0.27383279181540376,False
16.759999999999998,3.596865834593753,14.576554647100904,16.173420481694656,0.3593959459706997,0.2738611670225239,False
16.78,3.5985747199555984,14.582032153517282,16.18060687347288,0.35924329526186294,0.2738894611234284,False
16.8,3.600279991030454,14.5875102250072,16.187790216037655,0.35909102443142865,0.2739176744279861,False
16.82,3.6019816570170846,14.592988859957815,16.194970516974898,0.3589391323155004,0.2739458072445114,False
16.84,3.6036797270848666,14.598468056762439,16.202147783847305,0.35878761775445117,0.2739738598797735,False
16.86,3.6053742103739075,14.6039478138205,16.209322024194407,0.3586364795929063,0.27400183263900635,False
16.88,3.607065115995159,14.609428129537518,16.216493245532675,0.3584857166797262,0.2740297258259183,False
16.9,3.6087524530305357,14.614909002325069,16.223661455355604,0.35833532786798966,0.27405753974270114,False
16.92,3.610436230533024,14.620390430600764,16.23082666113379,0.3581853120149766,0.27408527469004046,False
16.94,3.6121164575268017,14.625872412788205,16.237988870315007,0.3580356679821514,0.27411293096712397,False
16.96,3.6137931430073467,14.631354947316966,16.245148090324314,0.35788639463514604,0.2741405088716517,False
16.98,3.615466295941553,14.636838032622562,16.252304328564115,0.35773749084374346,0.27416800869984465,False
17.0,3.617135925267842,14.642321667146415,16.259457592414257,0.35758895548186065,0.27419543074645425,False
17.02,3.6188020398962735,14.647805849335832,16.266607889232105,0.3574407874275322,0.2742227753047714,False
17.04,3.620464648708659,14.653290577643963,16.273755226352623,0.35729298556289363,0.2742500426666355,False
17.060000000000002,3.622123760558669,14.658775850529791,16.28089961108846,0.3571455487741651,0.27427723312244323,False
17.08,3.623779384271948,14.664261666458081,16.28804105073003,0.35699847595163475,0.2743043469611579,False
17.1,3.625431528646221,14.669748023899373,16.295179552545594,0.35685176598964236,0.274331384470318,False
17.12,3.627080202451402,14.675234921329938,16.30231512378134,0.3567054177865631,0.2743583459360458,False
17.14,3.628725414429707,14.680722357231758,16.309447771661464,0.3565594302447913,0.2743852316430564,False
17.16,3.630367173295758,14.686210330092491,16.31657750338825,0.3564138022707241,0.27441204187466617,False
17.18,3.632005487736692,14.691698838405454,16.323704326142146,0.3562685327747454,0.27443877691280144,False
17.2,3.63364036641227,14.697187880669585,16.330828247081854,0.3561236206712099,0.27446543703800697,False
17.22,3.6352718179549823,14.702677455389416,16.3379492733444,0.35597906487842673,0.2744920225294543,False
17.240000000000002,3.6368998509701544,14.708167561075056,16.34506741204521,0.3558348643186441,0.27451853366495044,False
17.259999999999998,3.6385244740360534,14.71365819624215,16.352182670278204,0.35569101791803276,0.2745449707209458,False
17.28,3.6401456957039944,14.719149359411865,16.359295055115858,0.35554752460667044,0.2745713339725427,False
17.3,3.641763524498443,14.724641049110849,16.366404573609294,0.3554043833185264,0.2745976236935037,False
17.32,3.643377968917122,14.730133263871219,16.373511232788342,0.355261592991445,0.27462384015625957,False
17.34,3.644989037431115,14.73562600223052,16.380615039661635,0.35511915256713056,0.2746499836319171,False
