"alpha","nu","k","q_critical"
"0.005","1",70,"758.738"
"0.005","1",80,"774.509"
"0.005","1",90,"788.209"
"0.005","1",100,"800.303"
"0.005","2",38,"61.191"
"0.005","2",40,"61.759"
"0.005","2",50,"64.191"
"0.005","2",60,"66.129"
"0.005","2",70,"67.735"
"0.005","2",80,"69.104"
"0.005","2",90,"70.294"
"0.005","2",100,"71.345"
"0.005","3",38,"28.339"
"0.005","3",40,"28.593"
"0.005","3",50,"29.680"
"0.005","3",60,"30.548"
"0.005","3",70,"31.269"
"0.005","3",80,"31.883"
"0.005","3",90,"32.419"
"0.005","3",100,"32.892"
"0.005","4",38,"19.463"
"0.005","4",40,"19.631"
"0.005","4",50,"20.354"
"0.005","4",60,"20.932"
"0.005","4",70,"21.413"
"0.005","4",80,"21.824"
"0.005","4",90,"22.181"
"0.005","4",100,"22.498"
"0.005","5",38,"15.574"
"0.005","5",40,"15.705"
"0.005","5",50,"16.266"
"0.005","5",60,"16.716"
"0.005","5",70,"17.091"
"0.005","5",80,"17.411"
"0.005","5",90,"17.690"
"0.005","5",100,"17.938"
"0.005","6",38,"13.431"
"0.005","6",40,"13.541"
"0.005","6",50,"14.013"
"0.005","6",60,"14.391"
"0.005","6",70,"14.707"
"0.005","6",80,"14.976"
"0.005","6",90,"15.212"
"0.005","6",100,"15.421"
"0.005","7",38,"12.084"
"0.005","7",40,"12.181"
"0.005","7",50,"12.595"
"0.005","7",60,"12.927"
"0.005","7",70,"13.205"
"0.005","7",80,"13.443"
"0.005","7",90,"13.650"
"0.005","7",100,"13.834"
"0.005","8",38,"11.162"
"0.005","8",40,"11.249"
"0.005","8",50,"11.623"
"0.005","8",60,"11.924"
"0.005","8",70,"12.175"
"0.005","8",80,"12.390"
"0.005","8",90,"12.578"
"0.005","8",100,"12.745"
"0.005","9",38,"10.491"
"0.005","9",40,"10.571"
"0.005","9",50,"10.916"
"0.005","9",60,"11.193"
"0.005","9",70,"11.425"
"0.005","9",80,"11.624"
"0.005","9",90,"11.797"
"0.005","9",100,"11.951"
"0.005","10",38,"9.982"
"0.005","10",40,"10.057"
"0.005","10",50,"10.379"
"0.005","10",60,"10.638"
"0.005","10",70,"10.855"
"0.005","10",80,"11.041"
"0.005","10",90,"11.203"
"0.005","10",100,"11.347"
"0.005","11",38,"9.583"
"0.005","11",40,"9.653"
"0.005","11",50,"9.957"
"0.005","11",60,"10.202"
"0.005","11",70,"10.407"
"0.005","11",80,"10.582"
"0.005","11",90,"10.736"
"0.005","11",100,"10.872"
"0.005","12",38,"9.261"
"0.005","12",40,"9.328"
"0.005","12",50,"9.617"
"0.005","12",60,"9.850"
"0.005","12",70,"10.045"
"0.005","12",80,"10.212"
"0.005","12",90,"10.358"
"0.005","12",100,"10.488"
"0.005","13",38,"8.997"
"0.005","13",40,"9.061"
"0.005","13",50,"9.337"
"0.005","13",60,"9.560"
"0.005","13",70,"9.747"
"0.005","13",80,"9.907"
"0.005","13",90,"10.047"
"0.005","13",100,"10.172"
"0.005","14",38,"8.775"
"0.005","14",40,"8.837"
"0.005","14",50,"9.103"
"0.005","14",60,"9.317"
"0.005","14",70,"9.497"
"0.005","14",80,"9.651"
"0.005","14",90,"9.786"
"0.005","14",100,"9.906"
"0.005","15",38,"8.587"
"0.005","15",40,"8.647"
"0.005","15",50,"8.903"
"0.005","15",60,"9.111"
"0.005","15",70,"9.285"
"0.005","15",80,"9.434"
"0.005","15",90,"9.564"
"0.005","15",100,"9.680"
"0.005","16",38,"8.425"
"0.005","16",40,"8.483"
"0.005","16",50,"8.732"
"0.005","16",60,"8.933"
"0.005","16",70,"9.102"
"0.005","16",80,"9.246"
"0.005","16",90,"9.373"
"0.005","16",100,"9.486"
"0.005","17",38,"8.285"
"0.005","17",40,"8.341"
"0.005","17",50,"8.583"
"0.005","17",60,"8.779"
"0.005","17",70,"8.942"
"0.005","17",80,"9.083"
"0.005","17",90,"9.206"
"0.005","17",100,"9.316"
"0.005","18",38,"8.162"
"0.005","18",40,"8.216"
"0.005","18",50,"8.452"
"0.005","18",60,"8.643"
"0.005","18",70,"8.803"
"0.005","18",80,"8.940"
"0.005","18",90,"9.060"
"0.005","18",100,"9.167"
"0.005","19",38,"8.053"
"0.005","19",40,"8.106"
"0.005","19",50,"8.337"
"0.005","19",60,"8.523"
"0.005","19",70,"8.679"
"0.005","19",80,"8.813"
"0.005","19",90,"8.930"
"0.005","19",100,"9.035"
"0.005","20",38,"7.956"
"0.005","20",40,"8.008"
"0.005","20",50,"8.233"
"0.005","20",60,"8.416"
"0.005","20",70,"8.569"
"0.005","20",80,"8.700"
"0.005","20",90,"8.815"
"0.005","20",100,"8.917"
"0.005","24",38,"7.655"
"0.005","24",40,"7.703"
"0.005","24",50,"7.914"
"0.005","24",60,"8.083"
"0.005","24",70,"8.226"
"0.005","24",80,"8.348"
"0.005","24",90,"8.455"
"0.005","24",100,"8.551"
"0.005","30",38,"7.363"
"0.005","30",40,"7.409"
"0.005","30",50,"7.603"
"0.005","30",60,"7.760"
"0.005","30",70,"7.892"
"0.005","30",80,"8.005"
"0.005","30",90,"8.105"
"0.005","30",100,"8.193"
"0.005","40",38,"7.081"
"0.005","40",40,"7.123"
"0.005","40",50,"7.302"
"0.005","40",60,"7.447"
"0.005","40",70,"7.568"
"0.005","40",80,"7.672"
"0.005","40",90,"7.763"
"0.005","40",100,"7.844"
"0.005","60",38,"6.808"
"0.005","60",40,"6.846"
"0.005","60",50,"7.010"
"0.005","60",60,"7.142"
"0.005","60",70,"7.252"
"0.005","60",80,"7.347"
"0.005","60",90,"7.430"
"0.005","60",100,"7.504"
"0.005","120",38,"6.545"
"0.005","120",40,"6.579"
"0.005","120",50,"6.727"
"0.005","120",60,"6.846"
"0.005","120",70,"6.946"
"0.005","120",80,"7.031"
"0.005","120",90,"7.106"
"0.005","120",100,"7.172"
"0.005","Inf",38,"6.291"
"0.005","Inf",40,"6.322"
"0.005","Inf",50,"6.454"
"0.005","Inf",60,"6.561"
"0.005","Inf",70,"6.649"
"0.005","Inf",80,"6.725"
"0.005","Inf",90,"6.792"
"0.005","Inf",100,"6.850"
"0.001","1",2,"900.316"
"0.001","1",3,"1350.474"
"0.001","1",4,"1642.645"
"0.001","1",5,"1855.822"
"0.001","1",6,"2022.168"
"0.001","1",7,"2157.764"
"0.001","1",8,"2271.737"
"0.001","1",9,"2369.737"
"0.001","1",10,"2455.493"
"0.001","2",2,"44.688"
"0.001","2",3,"60.418"
"0.001","2",4,"70.769"
"0.001","2",5,"78.434"
"0.001","2",6,"84.482"
"0.001","2",7,"89.455"
"0.001","2",8,"93.663"
"0.001","2",9,"97.301"
"0.001","2",10,"100.498"
"0.001","3",2,"18.277"
"0.001","3",3,"23.313"
"0.001","3",4,"26.643"
"0.001","3",5,"29.128"
"0.001","3",6,"31.102"
"0.001","3",7,"32.736"
"0.001","3",8,"34.124"
"0.001","3",9,"35.329"
"0.001","3",10,"36.392"
"0.001","4",2,"12.177"
"0.001","4",3,"14.983"
"0.001","4",4,"16.837"
"0.001","4",5,"18.227"
"0.001","4",6,"19.336"
"0.001","4",7,"20.256"
"0.001","4",8,"21.041"
"0.001","4",9,"21.724"
"0.001","4",10,"22.328"
"0.001","5",2,"9.714"
"0.001","5",3,"11.672"
"0.001","5",4,"12.962"
"0.001","5",5,"13.930"
"0.001","5",6,"14.704"
"0.001","5",7,"15.348"
"0.001","5",8,"15.898"
"0.001","5",9,"16.378"
"0.001","5",10,"16.804"
"0.001","6",2,"8.427"
"0.001","6",3,"9.960"
"0.001","6",4,"10.965"
"0.001","6",5,"11.719"
"0.001","6",6,"12.323"
"0.001","6",7,"12.825"
"0.001","6",8,"13.256"
"0.001","6",9,"13.631"
"0.001","6",10,"13.965"
"0.001","7",2,"7.648"
"0.001","7",3,"8.930"
"0.001","7",4,"9.768"
"0.001","7",5,"10.395"
"0.001","7",6,"10.897"
"0.001","7",7,"11.316"
"0.001","7",8,"11.675"
"0.001","7",9,"11.988"
"0.001","7",10,"12.266"
"0.001","8",2,"7.129"
"0.001","8",3,"8.250"
"0.001","8",4,"8.977"
"0.001","8",5,"9.522"
"0.001","8",6,"9.958"
"0.001","8",7,"10.321"
"0.001","8",8,"10.632"
"0.001","8",9,"10.904"
"0.001","8",10,"11.145"
"0.001","9",2,"6.761"
"0.001","9",3,"7.768"
"0.001","9",4,"8.419"
"0.001","9",5,"8.906"
"0.001","9",6,"9.295"
"0.001","9",7,"9.619"
"0.001","9",8,"9.896"
"0.001","9",9,"10.139"
"0.001","9",10,"10.355"
"0.001","10",2,"6.487"
"0.001","10",3,"7.411"
"0.001","10",4,"8.006"
"0.001","10",5,"8.449"
"0.001","10",6,"8.804"
"0.001","10",7,"9.099"
"0.001","10",8,"9.352"
"0.001","10",9,"9.573"
"0.001","10",10,"9.769"
"0.001","11",2,"6.275"
"0.001","11",3,"7.135"
"0.001","11",4,"7.687"
"0.001","11",5,"8.098"
"0.001","11",6,"8.426"
"0.001","11",7,"8.699"
"0.001","11",8,"8.933"
"0.001","11",9,"9.137"
"0.001","11",10,"9.319"
"0.001","12",2,"6.106"
"0.001","12",3,"6.917"
"0.001","12",4,"7.435"
"0.001","12",5,"7.820"
"0.001","12",6,"8.127"
"0.001","12",7,"8.382"
"0.001","12",8,"8.601"
"0.001","12",9,"8.792"
"0.001","12",10,"8.962"
"0.001","13",2,"5.969"
"0.001","13",3,"6.740"
"0.001","13",4,"7.231"
"0.001","13",5,"7.595"
"0.001","13",6,"7.885"
"0.001","13",7,"8.126"
"0.001","13",8,"8.332"
"0.001","13",9,"8.513"
"0.001","13",10,"8.673"
"0.001","14",2,"5.855"
"0.001","14",3,"6.593"
"0.001","14",4,"7.062"
"0.001","14",5,"7.409"
"0.001","14",6,"7.685"
"0.001","14",7,"7.914"
"0.001","14",8,"8.110"
"0.001","14",9,"8.282"
"0.001","14",10,"8.434"
"0.001","15",2,"5.760"
"0.001","15",3,"6.470"
"0.001","15",4,"6.920"
"0.001","15",5,"7.252"
"0.001","15",6,"7.517"
"0.001","15",7,"7.736"
"0.001","15",8,"7.924"
"0.001","15",9,"8.088"
"0.001","15",10,"8.234"
"0.001","16",2,"5.678"
"0.001","16",3,"6.365"
"0.001","16",4,"6.799"
"0.001","16",5,"7.119"
"0.001","16",6,"7.374"
"0.001","16",7,"7.585"
"0.001","16",8,"7.765"
"0.001","16",9,"7.923"
"0.001","16",10,"8.063"
"0.001","17",2,"5.608"
"0.001","17",3,"6.274"
"0.001","17",4,"6.695"
"0.001","17",5,"7.004"
"0.001","17",6,"7.250"
"0.001","17",7,"7.454"
"0.001","17",8,"7.629"
"0.001","17",9,"7.781"
"0.001","17",10,"7.916"
"0.001","18",2,"5.546"
"0.001","18",3,"6.195"
"0.001","18",4,"6.604"
"0.001","18",5,"6.905"
"0.001","18",6,"7.143"
"0.001","18",7,"7.341"
"0.001","18",8,"7.510"
"0.001","18",9,"7.657"
"0.001","18",10,"7.788"
"0.001","19",2,"5.492"
"0.001","19",3,"6.126"
"0.001","19",4,"6.524"
"0.001","19",5,"6.817"
"0.001","19",6,"7.049"
"0.001","19",7,"7.241"
"0.001","19",8,"7.405"
"0.001","19",9,"7.549"
"0.001","19",10,"7.676"
"0.001","20",2,"5.444"
"0.001","20",3,"6.065"
"0.001","20",4,"6.454"
"0.001","20",5,"6.740"
"0.001","20",6,"6.966"
"0.001","20",7,"7.153"
"0.001","20",8,"7.313"
"0.001","20",9,"7.453"
"0.001","20",10,"7.576"
"0.001","24",2,"5.297"
"0.001","24",3,"5.877"
"0.001","24",4,"6.238"
"0.001","24",5,"6.502"
"0.001","24",6,"6.711"
"0.001","24",7,"6.884"
"0.001","24",8,"7.031"
"0.001","24",9,"7.159"
"0.001","24",10,"7.272"
"0.001","30",2,"5.156"
"0.001","30",3,"5.698"
"0.001","30",4,"6.033"
"0.001","30",5,"6.277"
"0.001","30",6,"6.469"
"0.001","30",7,"6.628"
"0.001","30",8,"6.763"
"0.001","30",9,"6.880"
"0.001","30",10,"6.984"
"0.001","40",2,"5.022"
"0.001","40",3,"5.527"
"0.001","40",4,"5.838"
"0.001","40",5,"6.063"
"0.001","40",6,"6.240"
"0.001","40",7,"6.385"
"0.001","40",8,"6.509"
"0.001","40",9,"6.616"
"0.001","40",10,"6.710"
"0.001","60",2,"4.893"
"0.001","60",3,"5.365"
"0.001","60",4,"5.653"
"0.001","60",5,"5.860"
"0.001","60",6,"6.022"
"0.001","60",7,"6.155"
"0.001","60",8,"6.268"
"0.001","60",9,"6.365"
"0.001","60",10,"6.451"
"0.001","120",2,"4.771"
"0.001","120",3,"5.211"
"0.001","120",4,"5.476"
"0.001","120",5,"5.667"
"0.001","120",6,"5.815"
"0.001","120",7,"5.937"
"0.001","120",8,"6.039"
"0.001","120",9,"6.128"
"0.001","120",10,"6.206"
"0.001","Inf",2,"4.654"
"0.001","Inf",3,"5.063"
"0.001","Inf",4,"5.309"
"0.001","Inf",5,"5.484"
"0.001","Inf",6,"5.619"
"0.001","Inf",7,"5.730"
"0.001","Inf",8,"5.823"
"0.001","Inf",9,"5.903"
"0.001","Inf",10,"5.973"
"0.001","1",11,"2531.585"
"0.001","1",12,"2599.870"
"0.001","1",13,"2661.726"
"0.001","1",14,"2718.203"
"0.001","1",15,"2770.116"
"0.001","1",16,"2818.114"
"0.001","1",17,"2862.716"
"0.001","1",18,"2904.350"
"0.001","1",19,"2943.366"
"0.001","2",11,"103.346"
"0.001","2",12,"105.909"
"0.001","2",13,"108.237"
"0.001","2",14,"110.367"
"0.001","2",15,"112.329"
"0.001","2",16,"114.147"
"0.001","2",17,"115.839"
"0.001","2",18,"117.420"
"0.001","2",19,"118.904"
"0.001","3",11,"37.341"
"0.001","3",12,"38.198"
"0.001","3",13,"38.978"
"0.001","3",14,"39.693"
"0.001","3",15,"40.352"
"0.001","3",16,"40.964"
"0.001","3",17,"41.535"
"0.001","3",18,"42.069"
"0.001","3",19,"42.570"
"0.001","4",11,"22.869"
"0.001","4",12,"23.358"
"0.001","4",13,"23.804"
"0.001","4",14,"24.213"
"0.001","4",15,"24.592"
"0.001","4",16,"24.943"
"0.001","4",17,"25.271"
"0.001","4",18,"25.578"
"0.001","4",19,"25.867"
"0.001","5",11,"17.185"
"0.001","5",12,"17.530"
"0.001","5",13,"17.845"
"0.001","5",14,"18.135"
"0.001","5",15,"18.403"
"0.001","5",16,"18.652"
"0.001","5",17,"18.885"
"0.001","5",18,"19.103"
"0.001","5",19,"19.308"
"0.001","6",11,"14.264"
"0.001","6",12,"14.535"
"0.001","6",13,"14.783"
"0.001","6",14,"15.011"
"0.001","6",15,"15.222"
"0.001","6",16,"15.418"
"0.001","6",17,"15.602"
"0.001","6",18,"15.774"
"0.001","6",19,"15.936"
"0.001","7",11,"12.516"
"0.001","7",12,"12.742"
"0.001","7",13,"12.950"
"0.001","7",14,"13.140"
"0.001","7",15,"13.317"
"0.001","7",16,"13.482"
"0.001","7",17,"13.636"
"0.001","7",18,"13.780"
"0.001","7",19,"13.916"
"0.001","8",11,"11.362"
"0.001","8",12,"11.559"
"0.001","8",13,"11.740"
"0.001","8",14,"11.906"
"0.001","8",15,"12.060"
"0.001","8",16,"12.203"
"0.001","8",17,"12.337"
"0.001","8",18,"12.463"
"0.001","8",19,"12.582"
"0.001","9",11,"10.549"
"0.001","9",12,"10.725"
"0.001","9",13,"10.886"
"0.001","9",14,"11.034"
"0.001","9",15,"11.172"
"0.001","9",16,"11.300"
"0.001","9",17,"11.420"
"0.001","9",18,"11.533"
"0.001","9",19,"11.640"
"0.001","10",11,"9.946"
"0.001","10",12,"10.106"
"0.001","10",13,"10.253"
"0.001","10",14,"10.388"
"0.001","10",15,"10.514"
"0.001","10",16,"10.631"
"0.001","10",17,"10.740"
"0.001","10",18,"10.843"
"0.001","10",19,"10.940"
"0.001","11",11,"9.482"
"0.001","11",12,"9.630"
"0.001","11",13,"9.766"
"0.001","11",14,"9.891"
"0.001","11",15,"10.007"
"0.001","11",16,"10.115"
"0.001","11",17,"10.217"
"0.001","11",18,"10.312"
"0.001","11",19,"10.402"
"0.001","12",11,"9.115"
"0.001","12",12,"9.253"
"0.001","12",13,"9.380"
"0.001","12",14,"9.497"
"0.001","12",15,"9.606"
"0.001","12",16,"9.707"
"0.001","12",17,"9.802"
"0.001","12",18,"9.891"
"0.001","12",19,"9.975"
"0.001","13",11,"8.817"
"0.001","13",12,"8.948"
"0.001","13",13,"9.068"
"0.001","13",14,"9.178"
"0.001","13",15,"9.280"
"0.001","13",16,"9.376"
"0.001","13",17,"9.465"
"0.001","13",18,"9.549"
"0.001","13",19,"9.629"
"0.001","14",11,"8.571"
"0.001","14",12,"8.695"
"0.001","14",13,"8.809"
"0.001","14",14,"8.914"
"0.001","14",15,"9.011"
"0.001","14",16,"9.102"
"0.001","14",17,"9.187"
"0.001","14",18,"9.267"
"0.001","14",19,"9.342"
"0.001","15",11,"8.364"
"0.001","15",12,"8.483"
"0.001","15",13,"8.592"
"0.001","15",14,"8.692"
"0.001","15",15,"8.785"
"0.001","15",16,"8.872"
"0.001","15",17,"8.953"
"0.001","15",18,"9.030"
"0.001","15",19,"9.102"
"0.001","16",11,"8.189"
"0.001","16",12,"8.303"
"0.001","16",13,"8.407"
"0.001","16",14,"8.504"
"0.001","16",15,"8.593"
"0.001","16",16,"8.676"
"0.001","16",17,"8.754"
"0.001","16",18,"8.828"
"0.001","16",19,"8.897"
"0.001","17",11,"8.037"
"0.001","17",12,"8.147"
"0.001","17",13,"8.248"
"0.001","17",14,"8.341"
"0.001","17",15,"8.427"
"0.001","17",16,"8.507"
"0.001","17",17,"8.583"
"0.001","17",18,"8.653"
"0.001","17",19,"8.720"
"0.001","18",11,"7.905"
"0.001","18",12,"8.012"
"0.001","18",13,"8.109"
"0.001","18",14,"8.199"
"0.001","18",15,"8.283"
"0.001","18",16,"8.361"
"0.001","18",17,"8.433"
"0.001","18",18,"8.502"
"0.001","18",19,"8.566"
"0.001","19",11,"7.790"
"0.001","19",12,"7.893"
"0.001","19",13,"7.988"
"0.001","19",14,"8.075"
"0.001","19",15,"8.156"
"0.001","19",16,"8.232"
"0.001","19",17,"8.302"
"0.001","19",18,"8.369"
"0.001","19",19,"8.431"
"0.001","20",11,"7.687"
"0.001","20",12,"7.788"
"0.001","20",13,"7.880"
"0.001","20",14,"7.965"
"0.001","20",15,"8.044"
"0.001","20",16,"8.118"
"0.001","20",17,"8.186"
"0.001","20",18,"8.251"
"0.001","20",19,"8.312"
"0.001","24",11,"7.374"
"0.001","24",12,"7.467"
"0.001","24",13,"7.551"
"0.001","24",14,"7.629"
"0.001","24",15,"7.701"
"0.001","24",16,"7.768"
"0.001","24",17,"7.831"
"0.001","24",18,"7.890"
"0.001","24",19,"7.946"
"0.001","30",11,"7.077"
"0.001","30",12,"7.161"
"0.001","30",13,"7.239"
"0.001","30",14,"7.310"
"0.001","30",15,"7.375"
"0.001","30",16,"7.437"
"0.001","30",17,"7.494"
"0.001","30",18,"7.548"
"0.001","30",19,"7.598"
"0.001","40",11,"6.795"
"0.001","40",12,"6.872"
"0.001","40",13,"6.942"
"0.001","40",14,"7.007"
"0.001","40",15,"7.066"
"0.001","40",16,"7.122"
"0.001","40",17,"7.174"
"0.001","40",18,"7.223"
"0.001","40",19,"7.268"
"0.001","60",11,"6.528"
"0.001","60",12,"6.598"
"0.001","60",13,"6.661"
"0.001","60",14,"6.720"
"0.001","60",15,"6.773"
"0.001","60",16,"6.824"
"0.001","60",17,"6.870"
"0.001","60",18,"6.914"
"0.001","60",19,"6.956"
"0.001","120",11,"6.275"
"0.001","120",12,"6.338"
"0.001","120",13,"6.395"
"0.001","120",14,"6.448"
"0.001","120",15,"6.496"
"0.001","120",16,"6.541"
"0.001","120",17,"6.583"
"0.001","120",18,"6.623"
"0.001","120",19,"6.660"
"0.001","Inf",11,"6.036"
"0.001","Inf",12,"6.092"
"0.001","Inf",13,"6.144"
"0.001","Inf",14,"6.191"
"0.001","Inf",15,"6.234"
"0.001","Inf",16,"6.274"
"0.001","Inf",17,"6.312"
"0.001","Inf",18,"6.347"
"0.001","Inf",19,"6.380"
"0.001","1",20,"2980.058"
"0.001","1",22,"3047.427"
"0.001","1",24,"3108.037"
"0.001","1",26,"3163.065"
"0.001","1",28,"3213.410"
"0.001","1",30,"3259.774"
"0.001","1",32,"3302.713"
"0.001","1",34,"3342.677"
"0.001","1",36,"3380.035"
"0.001","2",20,"120.302"
"0.001","2",22,"122.871"
"0.001","2",24,"125.187"
"0.001","2",26,"127.294"
"0.001","2",28,"129.223"
"0.001","2",30,"131.003"
"0.001","2",32,"132.652"
"0.001","2",34,"134.189"
"0.001","2",36,"135.627"
"0.001","3",20,"43.043"
"0.001","3",22,"43.913"
"0.001","3",24,"44.700"
"0.001","3",26,"45.415"
"0.001","3",28,"46.072"
"0.001","3",30,"46.678"
"0.001","3",32,"47.241"
"0.001","3",34,"47.766"
"0.001","3",36,"48.257"
"0.001","4",20,"26.140"
"0.001","4",22,"26.642"
"0.001","4",24,"27.097"
"0.001","4",26,"27.511"
"0.001","4",28,"27.892"
"0.001","4",30,"28.243"
"0.001","4",32,"28.570"
"0.001","4",34,"28.875"
"0.001","4",36,"29.160"
"0.001","5",20,"19.502"
"0.001","5",22,"19.860"
"0.001","5",24,"20.184"
"0.001","5",26,"20.480"
"0.001","5",28,"20.752"
"0.001","5",30,"21.003"
"0.001","5",32,"21.237"
"0.001","5",34,"21.456"
"0.001","5",36,"21.660"
"0.001","6",20,"16.090"
"0.001","6",22,"16.373"
"0.001","6",24,"16.629"
"0.001","6",26,"16.864"
"0.001","6",28,"17.079"
"0.001","6",30,"17.279"
"0.001","6",32,"17.465"
"0.001","6",34,"17.638"
"0.001","6",36,"17.801"
"0.001","7",20,"14.045"
"0.001","7",22,"14.283"
"0.001","7",24,"14.499"
"0.001","7",26,"14.696"
"0.001","7",28,"14.877"
"0.001","7",30,"15.045"
"0.001","7",32,"15.202"
"0.001","7",34,"15.348"
"0.001","7",36,"15.486"
"0.001","8",20,"12.694"
"0.001","8",22,"12.902"
"0.001","8",24,"13.090"
"0.001","8",26,"13.263"
"0.001","8",28,"13.422"
"0.001","8",30,"13.569"
"0.001","8",32,"13.706"
"0.001","8",34,"13.834"
"0.001","8",36,"13.954"
"0.001","9",20,"11.740"
"0.001","9",22,"11.926"
"0.001","9",24,"12.095"
"0.001","9",26,"12.250"
"0.001","9",28,"12.392"
"0.001","9",30,"12.524"
"0.001","9",32,"12.647"
"0.001","9",34,"12.762"
"0.001","9",36,"12.870"
"0.001","10",20,"11.032"
"0.001","10",22,"11.202"
"0.001","10",24,"11.356"
"0.001","10",26,"11.497"
"0.001","10",28,"11.628"
"0.001","10",30,"11.748"
"0.001","10",32,"11.861"
"0.001","10",34,"11.966"
"0.001","10",36,"12.065"
"0.001","11",20,"10.487"
"0.001","11",22,"10.644"
"0.001","11",24,"10.787"
"0.001","11",26,"10.918"
"0.001","11",28,"11.039"
"0.001","11",30,"11.150"
"0.001","11",32,"11.255"
"0.001","11",34,"11.352"
"0.001","11",36,"11.444"
"0.001","12",20,"10.055"
"0.001","12",22,"10.202"
"0.001","12",24,"10.336"
"0.001","12",26,"10.458"
"0.001","12",28,"10.571"
"0.001","12",30,"10.676"
"0.001","12",32,"10.774"
"0.001","12",34,"10.865"
"0.001","12",36,"10.951"
"0.001","13",20,"9.704"
"0.001","13",22,"9.843"
"0.001","13",24,"9.969"
"0.001","13",26,"10.085"
"0.001","13",28,"10.192"
"0.001","13",30,"10.291"
"0.001","13",32,"10.383"
"0.001","13",34,"10.469"
"0.001","13",36,"10.551"
"0.001","14",20,"9.414"
"0.001","14",22,"9.546"
"0.001","14",24,"9.666"
"0.001","14",26,"9.776"
"0.001","14",28,"9.877"
"0.001","14",30,"9.972"
"0.001","14",32,"10.059"
"0.001","14",34,"10.142"
"0.001","14",36,"10.219"
"0.001","15",20,"9.170"
"0.001","15",22,"9.296"
"0.001","15",24,"9.411"
"0.001","15",26,"9.516"
"0.001","15",28,"9.613"
"0.001","15",30,"9.703"
"0.001","15",32,"9.787"
"0.001","15",34,"9.866"
"0.001","15",36,"9.940"
"0.001","16",20,"8.962"
"0.001","16",22,"9.084"
"0.001","16",24,"9.194"
"0.001","16",26,"9.295"
"0.001","16",28,"9.388"
"0.001","16",30,"9.475"
"0.001","16",32,"9.555"
"0.001","16",34,"9.631"
"0.001","16",36,"9.702"
"0.001","17",20,"8.783"
"0.001","17",22,"8.900"
"0.001","17",24,"9.007"
"0.001","17",26,"9.104"
"0.001","17",28,"9.194"
"0.001","17",30,"9.277"
"0.001","17",32,"9.355"
"0.001","17",34,"9.428"
"0.001","17",36,"9.497"
"0.001","18",20,"8.627"
"0.001","18",22,"8.741"
"0.001","18",24,"8.844"
"0.001","18",26,"8.938"
"0.001","18",28,"9.025"
"0.001","18",30,"9.106"
"0.001","18",32,"9.181"
"0.001","18",34,"9.251"
"0.001","18",36,"9.318"
"0.001","19",20,"8.491"
"0.001","19",22,"8.600"
"0.001","19",24,"8.700"
"0.001","19",26,"8.792"
"0.001","19",28,"8.876"
"0.001","19",30,"8.955"
"0.001","19",32,"9.028"
"0.001","19",34,"9.096"
"0.001","19",36,"9.161"
"0.001","20",20,"8.370"
"0.001","20",22,"8.476"
"0.001","20",24,"8.574"
"0.001","20",26,"8.663"
"0.001","20",28,"8.745"
"0.001","20",30,"8.821"
"0.001","20",32,"8.892"
"0.001","20",34,"8.959"
"0.001","20",36,"9.021"
"0.001","24",20,"7.999"
"0.001","24",22,"8.096"
"0.001","24",24,"8.185"
"0.001","24",26,"8.266"
"0.001","24",28,"8.342"
"0.001","24",30,"8.411"
"0.001","24",32,"8.476"
"0.001","24",34,"8.537"
"0.001","24",36,"8.594"
"0.001","30",20,"7.646"
"0.001","30",22,"7.735"
"0.001","30",24,"7.816"
"0.001","30",26,"7.890"
"0.001","30",28,"7.958"
"0.001","30",30,"8.021"
"0.001","30",32,"8.080"
"0.001","30",34,"8.136"
"0.001","30",36,"8.187"
"0.001","40",20,"7.312"
"0.001","40",22,"7.392"
"0.001","40",24,"7.465"
"0.001","40",26,"7.532"
"0.001","40",28,"7.594"
"0.001","40",30,"7.651"
"0.001","40",32,"7.704"
"0.001","40",34,"7.754"
"0.001","40",36,"7.801"
"0.001","60",20,"6.995"
"0.001","60",22,"7.067"
"0.001","60",24,"7.133"
"0.001","60",26,"7.193"
"0.001","60",28,"7.248"
"0.001","60",30,"7.299"
"0.001","60",32,"7.347"
"0.001","60",34,"7.391"
"0.001","60",36,"7.433"
"0.001","120",20,"6.695"
"0.001","120",22,"6.759"
"0.001","120",24,"6.818"
"0.001","120",26,"6.871"
"0.001","120",28,"6.920"
"0.001","120",30,"6.966"
"0.001","120",32,"7.008"
"0.001","120",34,"7.048"
"0.001","120",36,"7.085"
"0.001","Inf",20,"6.411"
"0.001","Inf",22,"6.469"
"0.001","Inf",24,"6.520"
"0.001","Inf",26,"6.568"
"0.001","Inf",28,"6.611"
"0.001","Inf",30,"6.651"
"0.001","Inf",32,"6.689"
"0.001","Inf",34,"6.723"
"0.001","Inf",36,"6.756"
"0.001","1",38,"3415.091"
"0.001","1",40,"3448.101"
"0.001","1",50,"3589.001"
"0.001","1",60,"3701.032"
"0.001","1",70,"3793.715"
"0.001","1",80,"3872.571"
"0.001","1",90,"3941.071"
"0.001","1",100,"4001.539"
"0.001","2",38,"136.978"
"0.001","2",40,"138.250"
"0.001","2",50,"143.692"
"0.001","2",60,"148.029"
"0.001","2",70,"151.624"
"0.001","2",80,"154.686"
"0.001","2",90,"157.349"
"0.001","2",100,"159.702"
"0.001","3",38,"48.719"
"0.001","3",40,"49.154"
"0.001","3",50,"51.019"
