treatment,t_day,organic_C_mg_L,O2_mg_L,regenerated_N_uM,O2_used_mg_L,O2_added_mg_L
weak_renewal,6.4,2.1275335591006894,0.49079678702836327,40.338192092701156,10.326577175731494,2.8173739627598557
weak_renewal,6.42,2.1229023210431217,0.4904618162195141,40.38643415580082,10.338927143885009,2.8293889601045215
weak_renewal,6.44,2.1182826806569897,0.4901582832665916,40.434555409823034,10.351246184914693,2.8414044681812842
weak_renewal,6.46,2.1136744591722487,0.48988566157158014,40.48255771695575,10.36353477554067,2.853420437112249
weak_renewal,6.48,2.1090774814037707,0.4896434349304661,40.53044290204406,10.375793382923277,2.865436817853742
weak_renewal,6.5,2.104491575702284,0.4894310973858917,40.57821275310122,10.388022464793908,2.877453562179799
weak_renewal,6.5200000000000005,2.0999165739050456,0.4892481530793473,40.625869021822446,10.400222469586543,2.8894706226658906
weak_renewal,6.54,2.095352311286315,0.48909411610305215,40.67341342410089,10.412393836569825,2.901487952672877
weak_renewal,6.5600000000000005,2.0907986265076697,0.4889685103516669,40.72084764054512,10.424536995979546,2.9135055063312123
weak_renewal,6.58,2.0862553615682247,0.48887086937397595,40.76817331699767,10.4366523691514,2.9255232385253747
weak_renewal,6.6000000000000005,2.0817223617547973,0.4888007362246683,40.815392065054205,10.448740368653873,2.93754110487854
weak_renewal,6.62,2.077199475592068,0.4887576633163417,40.86250546258263,10.460801398421149,2.949559061737491
weak_renewal,6.640000000000001,2.072686554792781,0.48874121227184714,40.90951505424187,10.472835853885915,2.9615770661577616
weak_renewal,6.66,2.0681834542080244,0.4887509537770863,40.956422351999755,10.484844122111934,2.9735950758890195
weak_renewal,6.68,2.0636900317776306,0.488786467434366,41.00322883564969,10.496826581926317,2.9856130493606825
weak_renewal,6.7,2.0592061484807394,0.4888473416164094,41.049935953325644,10.50878360405136,2.99763094566777
weak_renewal,6.72,2.054731668286551,0.48893317332111985,41.09654512201511,10.520715551235861,3.0096487245569823
weak_renewal,6.74,2.050266458105309,0.48904356802718263,41.14305772806971,10.53262277838584,3.021666346413023
weak_renewal,6.76,2.0458103877395435,0.4891781395505902,41.189475127713095,10.544505632694548,3.0336837722451384
weak_renewal,6.78,2.041363329835601,0.4893365099021675,41.235798647545835,10.556364453771728,3.045700963673896
weak_renewal,6.8,2.0369251598354943,0.4895183091461702,41.28202958504694,10.568199573772013,3.057717882918183
weak_renewal,6.82,2.032495755929095,0.4897231752600239,41.32816920907194,10.580011317522413,3.069734492782436
weak_renewal,6.84,2.028074999006691,0.48995075399526683,41.37421876034698,10.591800002648823,3.0817507566440887
weak_renewal,6.86,2.0236627726119405,0.4902006987397561,41.420179451958965,10.603565939701491,3.093766638441246
weak_renewal,6.88,2.01925896289523,0.49047267038118925,41.466052469841365,10.615309432279386,3.105782102660574
weak_renewal,6.9,2.0148634585674685,0.49076633717199364,41.51183897325554,10.627030777153415,3.1177971143254086
weak_renewal,6.92,2.0104761508543296,0.49108137459562695,41.557540095267406,10.638730264388451,3.129811638984079
weak_renewal,6.94,2.006096933450957,0.49141746523433294,41.603156943219204,10.650408177464113,3.1418256426984454
weak_renewal,6.96,2.0017257024771538,0.49177429863838884,41.64869059919632,10.662064793394254,3.1538390920326425
weak_renewal,6.98,1.9973623564330645,0.49215157119688047,41.69414212048892,10.673700382845158,3.1658519540420396
weak_renewal,7.0,1.9930067961553644,0.4925489860100347,41.739512540048295,10.685315210252359,3.177864196262394
weak_renewal,7.0200000000000005,1.988658924773968,0.49296625276313816,41.78480286693784,10.696909533936083,3.189875786699221
weak_renewal,7.04,1.984318647669267,0.4934030876020662,41.830014086778476,10.708483606215285,3.201886693817352
weak_renewal,7.0600000000000005,1.9799858724299026,0.4938592130104441,41.87514716218852,10.720037673520258,3.2138968865307014
weak_renewal,7.08,1.9756605088110901,0.49433435768845907,41.92020303321782,10.731571976503758,3.2259063341922167
weak_renewal,7.1000000000000005,1.971342468693488,0.49482825643333916,41.96518261777617,10.743086750150697,3.237915006584035
weak_renewal,7.12,1.9670316660426346,0.4953406500215123,42.01008681205589,10.754582223886306,3.249922873907818
weak_renewal,7.140000000000001,1.9627280168689414,0.49587128509245704,42.05491649094853,10.766058621682822,3.261929906775278
weak_renewal,7.16,1.9584314391882598,0.4964199140342527,42.099672508455626,10.77751616216464,3.2739360761988907
weak_renewal,7.18,1.9541418529830168,0.4969862948708359,42.14435569809358,10.788955058711954,3.2859413535827886
weak_renewal,7.2,1.9498591801639256,0.4975701911509679,42.18896687329244,10.800375519562863,3.297945710713831
weak_renewal,7.22,1.9455833445322734,0.49817137183891447,42.233506827788815,10.811777747913936,3.3099491197528494
weak_renewal,7.24,1.9413142717427854,0.49878961120683957,42.27797633601265,10.823161942019237,3.321951553226076
weak_renewal,7.26,1.9370518892670667,0.49942468872891005,42.322376153468056,10.83452829528782,3.3339529840167295
weak_renewal,7.28,1.9327961263576234,0.5000763889771105,42.36670701710809,10.845876996379669,3.3459533853567787
weak_renewal,7.3,1.9285469140124596,0.5007445015187615,42.410969645703545,10.857208229300106,3.3579527308188664
weak_renewal,7.32,1.9243041849402502,0.5014288208157373,42.45516474020573,10.868522173492664,3.369950994308401
weak_renewal,7.34,1.920067873526089,0.5021291461253731,42.499292984103235,10.879819003930427,3.3819481500557997
weak_renewal,7.36,1.915837915797808,0.5028452814030561,42.543355043772834,10.891098891205845,3.3939441726088986
weak_renewal,7.38,1.9116142493928658,0.5035770352064877,42.58735156882431,10.902362001619023,3.40593903682551
weak_renewal,7.4,1.907396813525802,0.5043242206016083,42.63128319243956,10.913608497264526,3.417932717866134
weak_renewal,7.42,1.9031855489562546,0.5050866550701703,42.67515053170568,10.924838536116653,3.4299251911868223
weak_renewal,7.44,1.8989803979575366,0.5058641604189487,42.71895418794233,10.936052272113235,3.4419164325321825
weak_renewal,7.46,1.8947813042857653,0.506656562690573,42.762694747023275,10.947249855237958,3.45390641792853
weak_renewal,7.48,1.890588213149543,0.5074636920759682,42.80637277969226,10.958431431601218,3.465895123677184
weak_renewal,7.5,1.8864010711801833,0.5082853828283864,42.84998884187309,10.969597143519511,3.477882526347895
weak_renewal,7.5200000000000005,1.882219826402474,0.5091214731790168,42.89354347497423,10.980747129593402,3.489868602772417
weak_renewal,7.54,1.87804442820598,0.5099718052541532,42.9370372061877,10.991881524784052,3.501853330038204
weak_renewal,7.5600000000000005,1.87387482731687,0.5108362249939046,42.980470548782606,11.003000460488346,3.5138366854822487
weak_renewal,7.58,1.8697109757702697,0.5117145820724293,43.02384400239302,11.014104064612614,3.5258186466850407
weak_renewal,7.6000000000000005,1.865552826883131,0.5126067298196759,43.067158053300716,11.025192461644984,3.537799191464657
weak_renewal,7.62,1.8614003352276134,0.51351252514461,43.110413174712356,11.036265772726363,3.549778297870972
