treatment,t_h,E_umol,R_umol,G_umol,exported_umol,B_units,U_umol_h,A_umol_h
replete,24.88,0.0,0.18475117820427003,23.57335003710057,14.24189878469516,2.357335003710057,0.0,0.06222455306452045
replete,24.900000000000002,0.0,0.18351071131286756,23.574590503991974,14.24189878469516,2.3574590503991972,0.0,0.061822535893968855
replete,24.92,0.0,0.18227826081460016,23.575822954490242,14.24189878469516,2.357582295449024,0.0,0.061422911810808105
replete,24.94,0.0,0.18105377896405817,23.577047436340784,14.24189878469516,2.3577047436340783,0.0,0.061025669184982305
replete,24.96,0.0,0.1798372182482049,23.578263997056638,14.24189878469516,2.357826399705664,0.0,0.06063079640934026
replete,24.98,0.0,0.17862853138591409,23.579472683918926,14.24189878469516,2.3579472683918925,0.0,0.060238281900067595
replete,25.0,0.0,0.17742767132749884,23.58067354397734,14.24189878469516,2.358067354397734,0.0,0.059848114097111146
replete,25.02,0.0,0.17623459125423221,23.58186662405061,14.24189878469516,2.358186662405061,0.0,0.05946028146459592
replete,25.04,0.0,0.1750492445778596,23.58305197072698,14.24189878469516,2.3583051970726983,0.0,0.059074772491234606
replete,25.06,0.0,0.17387158494010282,23.58422963036474,14.24189878469516,2.3584229630364737,0.0,0.058691575690729705
replete,25.080000000000002,0.0,0.17270156621215635,23.585399649092686,14.24189878469516,2.3585399649092684,0.0,0.058310679602168194
replete,25.1,0.0,0.1715391424941764,23.586562072810665,14.24189878469516,2.3586562072810664,0.0,0.05793207279040938
replete,25.12,0.0,0.17038426811476048,23.58771694719008,14.24189878469516,2.358771694719008,0.0,0.057555743846464724
replete,25.14,0.0,0.1692368976304215,23.58886431767442,14.24189878469516,2.3588864317674423,0.0,0.057181681387871344
replete,25.16,0.0,0.16809698582505322,23.59000422947979,14.24189878469516,2.359000422947979,0.0,0.056809874059057935
replete,25.18,0.0,0.16696448770938896,23.59113672759545,14.24189878469516,2.359113672759545,0.0,0.0564403105317038
replete,25.2,0.0,0.16583935852045303,23.59226185678439,14.24189878469516,2.359226185678439,0.0,0.05607297950509105
replete,25.22,0.0,0.16472155372100517,23.593379661583835,14.24189878469516,2.3593379661583835,0.0,0.055707869706449586
replete,25.240000000000002,0.0,0.163611028998978,23.594490186305862,14.24189878469516,2.359449018630586,0.0,0.055344969891295503
replete,25.26,0.0,0.1625077402669088,23.595593475037933,14.24189878469516,2.3595593475037933,0.0,0.054984268843762785
replete,25.28,0.0,0.16141164366136274,23.596689571643477,14.24189878469516,2.359668957164348,0.0,0.054625755376927876
replete,25.3,0.0,0.16032269554235143,23.59777851976249,14.24189878469516,2.359777851976249,0.0,0.05426941833312787
replete,25.32,0.0,0.15924085249274467,23.598860362812097,14.24189878469516,2.3598860362812095,0.0,0.0539152465842723
replete,25.34,0.0,0.15816607131767574,23.599935143987164,14.24189878469516,2.3599935143987163,0.0,0.053563229032147865
replete,25.36,0.0,0.15709830904394095,23.6010029062609,14.24189878469516,2.36010029062609,0.0,0.05321335460871725
replete,25.38,0.0,0.1560375229193931,23.602063692385446,14.24189878469516,2.3602063692385444,0.0,0.052865612276411074
replete,25.400000000000002,0.0,0.1549836704123292,23.603117544892513,14.24189878469516,2.3603117544892513,0.0,0.0525199910284137
replete,25.42,0.0,0.15393670921087318,23.60416450609397,14.24189878469516,2.3604164506093968,0.0,0.05217647988894301
replete,25.44,0.0,0.15289659722235152,23.60520461808249,14.24189878469516,2.3605204618082487,0.0,0.05183506791352318
replete,25.46,0.0,0.15186329257266504,23.606237922732177,14.24189878469516,2.3606237922732176,0.0,0.05149574418925212
replete,25.48,0.0,0.15083675360565474,23.607264461699188,14.24189878469516,2.360726446169919,0.0,0.05115849783506241
replete,25.5,0.0,0.14981693888246242,23.608284276422378,14.24189878469516,2.3608284276422378,0.0,0.05082331800197621
